FID,lon,lat,speed3,speed3_3
4240,120.26802,42.49728,-151.6992468,-151.6992468
4241,120.461296,42.47523,-151.6779631,-151.6779631
4242,120.65448,42.45288,-151.1892088,-151.1892088
4243,120.84748,42.430252,-150.2358427,-150.2358427
4244,121.04039,42.40734,-149.8327069,-149.8327069
4245,121.23316,42.384148,-149.8673385,-149.8673385
4246,121.4258,42.36068,-149.9386825,-149.9386825
4247,121.6465308,42.61675509,-150.3567094,-150.3567094
4248,121.8387918,42.62113709,-150.1330857,-150.1330857
4249,122.0308058,42.62520709,-150.007268,-150.007268
4250,122.2227108,42.62896109,-149.915846,-149.915846
4251,122.4144458,42.63240209,-149.0661343,-149.0661343
4252,122.6059858,42.63553509,-147.6773495,-147.6773495
4253,109.90109,43.393265,-128.8565204,-128.8565204
4254,110.098915,43.387337,-128.7267187,-128.7267187
4255,110.29074,43.381107,-128.630563,-128.630563
4256,110.48899,43.374565,-128.6741847,-128.6741847
4257,110.686714,43.36771,-128.6102711,-128.6102711
4258,110.88426,43.36055,-128.5553706,-128.5553706
4259,111.08065,43.353077,-128.7417591,-128.7417591
4260,111.27825,43.345303,-128.8208475,-128.8208475
4261,111.47525,43.337215,-128.699489,-128.699489
4262,111.67258,43.328808,-128.7709627,-128.7709627
4263,111.86949,43.320107,-129.0555739,-129.0555739
4264,112.06659,43.311092,-129.1282111,-129.1282111
4265,112.26373,43.301765,-128.8707223,-128.8707223
4266,112.460686,43.292133,-128.430871,-128.430871
4267,112.65786,43.282196,-127.5386918,-127.5386918
4268,112.85472,43.27195,-127.0730755,-127.0730755
4269,113.05166,43.2614,-126.8027863,-126.8027863
4270,113.24866,43.250538,-126.9295104,-126.9295104
4271,113.44549,43.239376,-127.1379724,-127.1379724
4272,113.642395,43.22791,-127.5259707,-127.5259707
4273,113.83921,43.216133,-127.5031015,-127.5031015
4274,114.03585,43.20405,-126.7742874,-126.7742874
4275,114.23249,43.191666,-127.6220988,-127.6220988
4276,114.429214,43.178978,-128.854798,-128.854798
4277,114.62567,43.165985,-128.6923957,-128.6923957
4278,114.822235,43.15269,-129.6473752,-129.6473752
4279,115.01865,43.1391,-131.3410282,-131.3410282
4280,115.21508,43.12519,-134.1286508,-134.1286508
4281,115.41146,43.11099,157.9128311,157.9128311
4282,115.607666,43.096497,-176.7161407,-176.7161407
4283,115.80384,43.08169,-162.030863,-162.030863
4284,115.99986,43.06658,-162.0438376,-162.0438376
4285,116.19591,43.05119,-163.2580324,-163.2580324
4286,116.391884,43.03548,-164.1098584,-164.1098584
4287,116.58768,43.01948,-164.86117,-164.86117
4288,116.78348,43.00318,-164.3508341,-164.3508341
4289,116.97913,42.986588,-162.935505,-162.935505
4290,117.17469,42.969696,-163.8379432,-163.8379432
4291,117.37015,42.952503,-166.854065,-166.854065
4292,117.56559,42.935017,-170.9252449,-170.9252449
4293,117.76097,42.917236,-174.9016112,-174.9016112
4294,117.956116,42.899155,-174.1605107,-174.1605107
4295,118.15132,42.880787,-170.8111668,-170.8111668
4296,118.346245,42.86212,-167.4711951,-167.4711951
4297,118.54119,42.843163,-164.243969,-164.243969
4298,118.73591,42.823917,-162.8104182,-162.8104182
