lon,lat,uu01,vv01,speed,speed_1
108.69913,33.664143,1.62,0.15,5.292764411,5.292764411
108.87186,33.665863,1.79,0.13,4.155959982,4.155959982
109.045105,33.667336,1.61,0.12,4.264773181,4.264773181
109.21814,33.668568,1.68,0.1,3.408171553,3.408171553
109.390594,33.669548,1.78,0.08,2.574664708,2.574664708
109.563446,33.670288,1.66,0.08,2.760507118,2.760507118
109.73755,33.670776,1.44,0.07,2.784432342,2.784432342
109.90512,33.671032,1.41,0.06,2.43788415,2.43788415
110.08847,33.67104,1.41,0.04,1.625800569,1.625800569
110.25717,33.670803,1.47,0.03,1.169732332,1.169732332
110.42841,33.67032,1.44,0.03,1.194094779,1.194094779
110.60231,33.669594,1.44,0.03,1.194094779,1.194094779
110.775314,33.66861,1.44,0.02,0.796127155,0.796127155
110.94812,33.667393,1.04,0.02,1.102264917,1.102264917
111.12117,33.665928,0.55,0.02,2.083621587,2.083621587
111.294075,33.664223,0.58,0.02,1.975935726,1.975935726
111.466736,33.66227,0.71,0.02,1.614357343,1.614357343
111.63985,33.660072,0.79,0.02,1.450951862,1.450951862
111.81273,33.657635,1.48,0.02,0.774612861,0.774612861
111.98554,33.65494,1.62,0.02,0.707678131,0.707678131
112.158585,33.652004,1.34,0.02,0.855531114,0.855531114
112.331375,33.64883,1.42,0.03,1.210908048,1.210908048
112.504135,33.64541,2.68,0.03,0.641669178,0.641669178
112.67693,33.64174,4.71,0.04,0.486823462,0.486823462
112.84964,33.63783,5.59,0.04,0.41018864,0.41018864
113.02252,33.633675,5.65,0.05,0.507286233,0.507286233
113.19525,33.629276,4.25,0.07,0.944088483,0.944088483
113.36784,33.624626,4.04,0.07,0.993152813,0.993152813
113.5405,33.61974,4.26,0.07,0.941872712,0.941872712
113.7132,33.61461,4.43,0.07,0.905734748,0.905734748
113.8858,33.609226,4.63,0.07,0.866616232,0.866616232
114.05845,33.603615,4.81,0.07,0.834190354,0.834190354
114.230965,33.597744,4.8,0.08,0.955325563,0.955325563
114.40345,33.591644,4.64,0.09,1.111764828,1.111764828
114.575905,33.585297,4.2,0.09,1.228201478,1.228201478
114.748344,33.5787,4.31,0.09,1.196864497,1.196864497
114.92076,33.571865,4.37,0.08,1.049307794,1.049307794
115.09309,33.56479,4.12,0.07,0.973872039,0.973872039
115.26537,33.55747,2.7,0.07,1.485866725,1.485866725
115.43765,33.549908,1.77,0.07,2.265903265,2.265903265
115.609795,33.542103,1.71,0.08,2.679909856,2.679909856
115.78201,33.53406,1.43,0.09,3.603104738,3.603104738
115.95408,33.525772,0.68,0.09,7.543269256,7.543269256
116.12612,33.517246,0.48,0.1,11.77425798,11.77425798
116.298065,33.508476,0.49,0.09,10.41299025,10.41299025
