lon,lat,uu01,vv01,vv02
116.64187,33.490223,0.14,0.05,0.05
116.81374,33.480732,0.08,0.03,0.03
116.985535,33.470993,0.07,0.02,0.02
117.15728,33.461025,0.08,0.01,0.01
117.32885,33.450817,0.09,0.01,0.01
117.50049,33.44037,0.1,0,0
117.67195,33.42968,0.09,0,0
117.84338,33.418755,0.09,0,0
118.014725,33.407593,0.1,0,0
118.18603,33.39619,0.06,0,0
118.35729,33.38454,0.16,0,0
118.52842,33.37267,0.16,0,0
118.699524,33.360554,0.17,0.01,0.01
118.87054,33.348206,0.16,0,0
119.04147,33.33561,0.15,0,0
119.21231,33.322792,0.12,0,0
119.38308,33.30973,0.12,0,0
119.55377,33.296436,0.11,0,0
119.7244,33.282906,0.13,0.02,0.02
119.89492,33.269142,0.14,0.02,0.02
120.06535,33.255142,0.17,0.02,0.02
120.23569,33.24091,0.2,0.03,0.03
120.40598,33.22645,0.2,0.03,0.03
120.57616,33.211746,0.15,0.02,0.02
120.74623,33.196815,0.1,0.02,0.02
120.91622,33.18165,0.08,0.02,0.02
121.08613,33.166252,0.04,0.02,0.02
121.25591,33.15062,0.04,0.02,0.02
121.42562,33.13476,0.03,0.01,0.01
121.59523,33.11867,0.02,0.01,0.01
121.76476,33.102352,0.01,0.01,0.01
121.93416,33.0858,0,0.01,0.01
122.10347,33.06902,0,0,0
122.272675,33.052017,0,0,0
122.441795,33.03477,0,0,0
122.61078,33.01731,0,0,0
122.779655,32.99961,0,0,0
122.94844,32.981697,0,0,0
123.1171,32.963554,0,0,0
123.28565,32.94518,0,0,0
123.45415,32.92657,0.68,0.08,0.08
107.48486,33.78913,0.3,0.09,0.09
107.65756,33.79258,0.32,0.1,0.1
107.83093,33.795776,0.39,0.11,0.11
108.00403,33.79873,0.64,0.2,0.2
108.17737,33.801445,2.74,0.22,0.22
108.350525,33.8039,2.39,0.19,0.19
108.52356,33.806114,1.51,0.17,0.17
108.696594,33.808094,1.32,0.15,0.15
108.869965,33.80981,0.89,0.13,0.13
109.04385,33.811295,1.22,0.12,0.12
109.2164,33.812523,1.69,0.1,0.1
109.390594,33.81351,1.61,0.09,0.09
109.56299,33.81426,1.41,0.08,0.08
109.73459,33.814747,1.39,0.07,0.07
109.90512,33.815002,1.39,0.06,0.06
110.08623,33.815006,1.41,0.04,0.04
110.25641,33.814762,1.43,0.03,0.03
110.430695,33.814278,1.3,0.03,0.03
110.60329,33.813545,0.92,0.04,0.04
110.77632,33.812565,0.87,0.03,0.03
110.94977,33.81134,0.31,0.03,0.03
111.12274,33.80988,0.37,0.02,0.02
111.29573,33.80817,0.58,0.02,0.02
111.469536,33.806206,0.68,0.02,0.02
111.64235,33.804005,0.66,0.02,0.02
