FID,lon,lat,uu01,vv01,speed,speed_1
1196,115.192184,37.828224,0.06,0.02,18.4442993,18.4442993
1197,115.374,37.81874,0.04,0.01,14.04336285,14.04336285
1198,115.5557,37.80899,0.03,0.01,18.4442993,18.4442993
1199,115.737404,37.798977,0.04,0,0,0
1200,115.918945,37.788685,0.03,0,0,0
1201,116.10053,37.778137,0.02,0,0,0
1202,116.28201,37.76732,0.01,0,0,0
1203,116.46339,37.75623,0.01,0,0,0
1204,116.644646,37.744884,0.01,0,0,0
1205,116.825966,37.733265,0.01,0,0,0
1206,117.00726,37.721382,0.01,0,0,0
1207,117.18827,37.709236,0.01,0,0,0
1208,117.369354,37.69682,0.01,0,0,0
1209,117.55038,37.68415,0.01,0,0,0
1210,117.731224,37.67121,0.01,0,0,0
1211,117.91208,37.65801,0.01,0,0,0
1212,120.07504,37.479202,0.01,0,0,0
1213,120.2547,37.462612,0.03,0,0,0
1214,120.43421,37.44577,0.18,0.43,67.31971587,67.31971587
1215,120.613655,37.42867,0.11,0.47,76.86641457,76.86641457
1216,120.793,37.411312,0.11,0.36,73.04620802,73.04620802
1217,120.9722,37.3937,0.12,0.32,69.47917776,69.47917776
1218,121.1513,37.375828,0.15,0.19,51.73606479,51.73606479
1219,121.33026,37.357708,0.34,0.25,36.34525145,36.34525145
1220,121.50911,37.339325,2.17,0.37,9.681179045,9.681179045
1221,121.687904,37.320698,4.74,0.5,6.024644377,6.024644377
1222,121.86653,37.30181,5.59,1.19,12.02383283,12.02383283
1223,122.04506,37.28268,5.48,1.93,19.41158367,19.41158367
1224,122.22343,37.263294,4.81,2,22.58901318,22.58901318
1225,122.401726,37.243652,3.75,2.11,29.37990145,29.37990145
1226,122.579865,37.223755,2.34,0.49,11.83294232,11.83294232
1227,109.90512,38.12969,2.26,0.02,0.507286233,0.507286233
1228,110.09065,38.128056,1.33,0.01,0.431005719,0.431005719
1229,110.271965,38.12614,0.41,0.01,1.397889698,1.397889698
1230,110.45413,38.12396,0.45,0.01,1.273675719,1.273675719
1231,110.63735,38.121502,0.6,0.01,0.955325563,0.955325563
1232,110.81996,38.118767,0.59,0.01,0.971514448,0.971514448
1233,111.002495,38.115765,1.16,0.02,0.988261406,0.988261406
1234,111.18515,38.112476,2.52,0.06,1.364619335,1.364619335
1235,111.368454,38.108932,3.24,0.15,2.652034152,2.652034152
1236,111.55104,38.105106,3.69,0.21,3.258874051,3.258874051
1237,111.7337,38.10101,4.02,0.3,4.270058038,4.270058038
1238,111.91653,38.096645,4.43,0.37,4.776766797,4.776766797
1239,112.09947,38.09199,4.52,0.46,5.813927272,5.813927272
1240,112.28251,38.08709,4.01,0.49,6.97022613,6.97022613
1241,112.46506,38.081894,3.36,0.6,10.12980704,10.12980704
1242,112.64775,38.076435,2.22,0.6,15.13167842,15.13167842
1243,112.83041,38.07071,1.06,0.66,31.92429119,31.92429119
1244,113.013054,38.064697,0.73,0.58,38.48737477,38.48737477
1245,113.19574,38.05843,0.52,0.42,38.94728821,38.94728821
1246,113.37835,38.05188,0.54,0.39,35.85583033,35.85583033
1247,113.560844,38.045063,1,0.38,20.81734452,20.81734452
1248,113.7434,38.037975,1.8,0.3,9.467121635,9.467121635
1249,113.92586,38.03061,2.64,0.25,5.412348775,5.412348775
1250,114.10833,38.022987,3.25,0.19,3.347488225,3.347488225
1251,114.29072,38.01508,3.25,0.14,2.467852044,2.467852044
1252,114.473,38.00691,1.38,0.11,4.559730609,4.559730609
1253,114.655396,37.998474,0.51,0.06,6.713240134,6.713240134
1254,114.83765,37.989758,0.19,0.03,8.977177661,8.977177661
1255,115.01981,37.980778,0.07,0.02,15.95348364,15.95348364
1256,115.20203,37.971535,0.04,0.01,14.04336285,14.04336285
1257,115.38416,37.962017,0.03,0.01,18.4442993,18.4442993
1258,115.56627,37.952232,0.03,0,0,0
1259,115.74822,37.94217,0.03,0,0,0
1260,115.93016,37.931854,0.02,0,0,0
1261,116.11203,37.921265,0.01,0,0,0
1262,116.2938,37.910408,0.01,0,0,0
1263,116.47557,37.89928,0.01,0,0,0
1264,116.657265,37.887886,0.01,0,0,0
1265,116.83891,37.87623,0.01,0,0,0
1266,117.020355,37.864307,0.01,0,0,0
1267,117.20187,37.85212,0.01,0,0,0
1268,117.38329,37.839664,0.01,0,0,0
1269,117.56455,37.826942,0.01,0,0,0
1270,117.745834,37.813965,0.01,0,0,0
1271,117.927,37.800705,0.01,0,0,0
1272,120.09394,37.621273,0.04,0,0,0
1273,120.273865,37.604626,0.22,0.6,69.89913245,69.89913245
1274,120.453804,37.587727,0.12,0.52,77.04444146,77.04444146
1275,120.63354,37.570564,0.12,0.49,76.27788452,76.27788452
1276,120.81316,37.55314,0.14,0.44,72.38657269,72.38657269
1277,120.99269,37.535473,0.18,0.28,57.29381925,57.29381925
1278,121.17208,37.51754,0.37,0.27,36.1376611,36.1376611
1279,121.35136,37.49935,1.62,0.26,9.122487466,9.122487466
1280,121.53059,37.48091,4.34,0.35,4.612987907,4.612987907
1281,121.70963,37.462215,5.59,0.49,5.012085728,5.012085728
1282,121.88863,37.44326,5.6,1.17,11.80695664,11.80695664
1283,122.067406,37.42406,4.79,1.35,15.7477923,15.7477923
1284,122.246155,37.40461,3.66,1.97,28.30576946,28.30576946
1285,122.42474,37.384903,2.09,0.58,15.51783776,15.51783776
1286,122.603195,37.36494,1.67,0.13,4.453431703,4.453431703
1287,109.89914,38.27355,1.36,0.02,0.842951601,0.842951601
1288,110.08623,38.2719,0.56,0.01,1.023549084,1.023549084
1289,110.27268,38.269978,0.44,0.01,1.302613042,1.302613042
1290,110.45413,38.26779,0.51,0.01,1.12387247,1.12387247
1291,110.63735,38.265324,0.55,0.01,1.042155004,1.042155004
1292,110.82115,38.262585,1.14,0.02,1.005595799,1.005595799
1293,111.00444,38.259567,2.43,0.03,0.707678131,0.707678131
1294,111.187454,38.256283,3.06,0.09,1.685538814,1.685538814
1295,111.370735,38.252712,3.56,0.17,2.735344271,2.735344271
1296,111.55406,38.248875,4,0.22,3.14969286,3.14969286
1297,111.73686,38.244766,4.55,0.32,4.025009632,4.025009632
1298,111.920204,38.240376,4.45,0.39,5.011170967,5.011170967
1299,112.10348,38.235725,4.26,0.42,5.633538722,5.633538722
1300,112.286446,38.23078,3.39,0.52,8.725182865,8.725182865
1301,112.46982,38.22557,2.72,0.67,13.84483606,13.84483606
1302,112.65285,38.220104,1.39,0.61,23.70623443,23.70623443
1303,112.83573,38.21435,0.73,0.54,36.5098056,36.5098056
1304,113.01876,38.208324,0.46,0.45,44.3929067,44.3929067
1305,113.20174,38.202026,0.28,0.41,55.69801933,55.69801933
1306,113.38478,38.195457,0.37,0.3,39.05531228,39.05531228
1307,113.56771,38.188614,0.65,0.23,19.49601322,19.49601322
1308,113.75051,38.181503,1.81,0.24,7.557000852,7.557000852
1309,113.93328,38.17412,2.91,0.19,3.737553907,3.737553907
1310,114.11619,38.16646,2.91,0.14,2.755771289,2.755771289
1311,114.29893,38.158527,1.71,0.09,3.014315634,3.014315634
1312,114.481575,38.15033,0.58,0.06,5.909136794,5.909136794
1313,114.66431,38.14186,0.23,0.03,7.435177289,7.435177289
1314,114.84683,38.13312,0.08,0.02,14.04336285,14.04336285
1315,115.02933,38.12411,0.04,0.01,14.04336285,14.04336285
1316,115.211845,38.114826,0.03,0.01,18.4442993,18.4442993
1317,115.39442,38.10527,0.03,0,0,0
1318,115.57675,38.09545,0.03,0,0,0
1319,115.759125,38.085365,0.02,0,0,0
1320,115.94139,38.075012,0.01,0,0,0
1321,116.1236,38.06438,0.01,0,0,0
1322,116.30575,38.053486,0.01,0,0,0
1323,116.487854,38.042313,0.01,0,0,0
1324,116.66989,38.03089,0.01,0,0,0
1325,116.85184,38.019184,0.01,0,0,0
1326,117.0337,38.00722,0.01,0,0,0
1327,117.21551,37.994987,0.01,0,0,0
1328,117.39718,37.98249,0.01,0,0,0
1329,117.578835,37.969727,0.01,0,0,0
1330,117.76046,37.9567,0.01,0,0,0
1331,117.94194,37.943394,0.01,0,0,0
1332,118.12335,37.929836,0.01,0,0,0
1333,119.93247,37.779774,0.04,0,0,0
1334,120.112885,37.763332,0.25,0.69,70.11914142,70.11914142
1335,120.29317,37.746628,0.16,0.65,76.20998424,76.20998424
1336,120.47338,37.72966,0.12,0.49,76.27788452,76.27788452
1337,120.65341,37.71244,0.28,0.42,56.33849369,56.33849369
1338,120.83339,37.694965,0.34,0.41,50.35768808,50.35768808
1339,121.013214,37.677223,0.38,0.29,37.36829318,37.36829318
1340,121.19293,37.659233,1.46,0.25,9.721614262,9.721614262
1341,121.37263,37.640984,3.87,0.32,4.729279757,4.729279757
1342,121.552124,37.622475,5.53,0.38,3.932956579,3.932956579
1343,121.73155,37.603718,5.67,0.71,7.141073247,7.141073247
1344,121.91077,37.584705,4.63,0.99,12.075523,12.075523
1345,122.08994,37.565437,3.5,1.43,22.23479413,22.23479413
1346,122.26896,37.54591,1.8,1.03,29.79425352,29.79425352
1347,122.44788,37.526134,1.21,0.18,8.465579831,8.465579831
1348,122.62668,37.506104,1.22,0.05,2.348064661,2.348064661
1349,109.903076,38.417393,0.75,0.01,0.764285921,0.764285921
1350,110.08847,38.415737,0.65,0.01,0.881851057,0.881851057
1351,110.271965,38.41381,0.72,0.01,0.796127155,0.796127155
1352,110.454994,38.41162,0.68,0.01,0.842951601,0.842951601
1353,110.638885,38.409138,1.27,0.01,0.451367371,0.451367371
1354,110.82282,38.406384,2.77,0.02,0.413890575,0.413890575
1355,111.006195,38.403366,3.2,0.04,0.716523192,0.716523192
1356,111.189926,38.400066,3.64,0.08,1.259683813,1.259683813
1357,111.37344,38.39648,3.96,0.16,2.314896051,2.314896051
1358,111.55696,38.39264,4.6,0.21,2.615187819,2.615187819
1359,111.74058,38.388504,4.59,0.32,3.990046971,3.990046971
1360,111.923965,38.38411,4.23,0.35,4.732409962,4.732409962
1361,112.107475,38.37943,3.34,0.46,7.845680641,7.845680641
1362,112.29081,38.374477,2.8,0.6,12.10089171,12.10089171
1363,112.474335,38.369255,1.8,0.59,18.15719899,18.15719899
1364,112.65786,38.36376,0.86,0.54,32.14129271,32.14129271
1365,112.84118,38.35799,0.43,0.44,45.68170185,45.68170185
1366,113.0246,38.351936,0.25,0.37,55.98244336,55.98244336
1367,113.20791,38.345615,0.22,0.33,56.33849369,56.33849369
1368,113.39119,38.339024,0.3,0.24,38.67941707,38.67941707
1369,113.5744,38.33216,0.83,0.2,13.5548107,13.5548107
1370,113.75781,38.32502,2.39,0.2,4.7859072,4.7859072
1371,113.94084,38.317608,2.66,0.15,3.229183827,3.229183827
1372,114.12398,38.30992,2.04,0.09,2.527398195,2.527398195
1373,114.30717,38.301968,0.73,0.06,4.701063756,4.701063756
1374,114.49017,38.293736,0.3,0.04,7.598495482,7.598495482
1375,114.67312,38.285236,0.1,0.02,11.31566904,11.31566904
1376,114.856155,38.276463,0.04,0.01,14.04336285,14.04336285
1377,115.03894,38.26742,0.03,0.01,18.4442993,18.4442993
1378,115.22192,38.25811,0.03,0,0,0
1379,115.40476,38.248524,0.03,0,0,0
1380,115.587425,38.238667,0.01,0,0,0
1381,115.7701,38.228542,0.01,0,0,0
1382,115.9527,38.21814,0.01,0,0,0
1383,116.13527,38.207478,0.01,0,0,0
1384,116.31777,38.196545,0.01,0,0,0
1385,116.500206,38.18534,0.01,0,0,0
1386,116.682495,38.173866,0.01,0,0,0
1387,116.86479,38.162125,0.01,0,0,0
1388,117.04707,38.15012,0.01,0,0,0
1389,117.2292,38.137844,0.01,0,0,0
1390,117.41127,38.125305,0.01,0,0,0
1391,117.59325,38.11249,0.01,0,0,0
1392,117.77515,38.09942,0.01,0,0,0
1393,117.956955,38.08608,0.01,0,0,0
1394,118.13876,38.072464,0.01,0,0,0
1395,119.77042,37.93811,0.01,0,0,0
1396,119.95126,37.921875,0.28,0.72,68.78436523,68.78436523
1397,120.13194,37.905373,0.17,0.69,76.19793361,76.19793361
1398,120.31256,37.88861,0.14,0.62,77.31483964,77.31483964
1399,120.49309,37.871582,0.29,0.47,58.35411431,58.35411431
1400,120.673416,37.854305,0.49,0.42,40.62188821,40.62188821
1401,120.85379,37.836765,0.61,0.38,31.93706695,31.93706695
1402,121.033936,37.818966,1.32,0.27,11.56599426,11.56599426
1403,121.21397,37.800915,3.6,0.27,4.29132885,4.29132885
1404,121.39389,37.782597,5.33,0.39,4.187038775,4.187038775
1405,121.573784,37.764027,5.65,0.54,5.462242817,5.462242817
1406,121.7535,37.745205,4.71,0.54,6.543703207,6.543703207
1407,121.93307,37.72612,2.95,0.64,12.24678988,12.24678988
1408,122.11256,37.70678,1.45,0.7,25.7823982,25.7823982
1409,122.29191,37.68719,0.93,0.26,15.62731452,15.62731452
1410,122.471146,37.66734,0.98,0.06,3.505308687,3.505308687
1411,122.6502,37.647247,0.5,0.02,2.291771873,2.291771873
1412,109.90109,38.561226,1.04,0.01,0.551183406,0.551183406
1413,110.09065,38.55957,1.14,0.01,0.502836583,0.502836583
1414,110.27124,38.557636,1.06,0.01,0.540784342,0.540784342
1415,110.457565,38.555424,1.93,0.01,0.297017242,0.297017242
1416,110.64041,38.55295,3.08,0.01,0.186118959,0.186118959
1417,110.824005,38.550182,3.51,0.02,0.326633734,0.326633734
1418,111.00794,38.547146,3.79,0.05,0.75622052,0.75622052
1419,111.19223,38.543835,3.89,0.09,1.326045092,1.326045092
1420,111.37587,38.540237,4.54,0.14,1.767166364,1.767166364
1421,111.559845,38.53638,4.66,0.21,2.581561677,2.581561677
1422,111.74361,38.532246,4.48,0.29,3.705589769,3.705589769
1423,111.92783,38.52782,3.47,0.4,6.579012621,6.579012621
1424,112.11156,38.52313,2.66,0.53,11.27421941,11.27421941
1425,112.29542,38.518166,2.13,0.55,14.48577291,14.48577291
1426,112.47915,38.512924,1.31,0.67,27.10122978,27.10122978
1427,112.66279,38.507404,0.65,0.6,42.73105278,42.73105278
1428,112.84662,38.501606,0.28,0.45,58.13868203,58.13868203
1429,113.03048,38.495537,0.2,0.35,60.28568097,60.28568097
1430,113.21425,38.48919,0.24,0.28,49.4237611,49.4237611
1431,113.397766,38.48259,0.37,0.22,30.75107719,30.75107719
1432,113.581245,38.47569,1.21,0.18,8.465579831,8.465579831
1433,113.764786,38.46852,2.33,0.15,3.685354707,3.685354707
1434,113.94844,38.461086,2.04,0.11,3.088054776,3.088054776
1435,114.13186,38.453373,1.12,0.08,4.087689064,4.087689064
1436,114.31543,38.445393,0.38,0.06,8.977177661,8.977177661
1437,114.498764,38.437134,0.13,0.03,13.00120785,13.00120785
1438,114.68212,38.428604,0.05,0.01,11.31566904,11.31566904
1439,114.865425,38.419796,0.03,0.01,18.4442993,18.4442993
1440,115.04858,38.41072,0.03,0,0,0
1441,115.23196,38.40138,0.03,0,0,0
1442,115.41501,38.391758,0.01,0,0,0
1443,115.598114,38.381866,0.01,0,0,0
1444,115.781136,38.371704,0.01,0,0,0
1445,115.96418,38.36127,0.01,0,0,0
1446,116.14708,38.350567,0.01,0,0,0
1447,116.329834,38.3396,0.01,0,0,0
1448,116.51259,38.328354,0.01,0,0,0
1449,116.695335,38.316837,0.01,0,0,0
1450,116.87792,38.30505,0.01,0,0,0
1451,117.06056,38.293,0.02,0,0,0
1452,117.24297,38.280685,0.02,0,0,0
1453,117.4254,38.268097,0.01,0,0,0
1454,117.60773,38.25524,0.01,0,0,0
1455,117.78995,38.242123,0.01,0,0,0
1456,117.97216,38.228733,0.01,0,0,0
1457,119.60767,38.096287,0.01,0,0,0
1458,119.78891,38.080246,0.25,0.8,72.68282246,72.68282246
1459,119.97008,38.063953,0.18,0.7,75.61756175,75.61756175
1460,120.15111,38.047398,0.13,0.65,78.72998027,78.72998027
1461,120.33212,38.030575,0.27,0.55,63.88554601,63.88554601
1462,120.512856,38.013493,0.53,0.45,40.35359918,40.35359918
1463,120.69363,37.996147,1,0.39,21.31659022,21.31659022
1464,120.87428,37.978546,1.39,0.35,14.14035911,14.14035911
1465,121.054756,37.960686,2.86,0.27,5.395793734,5.395793734
1466,121.23511,37.94257,4.74,0.34,4.104877921,4.104877921
1467,121.41541,37.92419,5.35,0.35,3.744886794,3.744886794
1468,121.59555,37.905552,5.05,0.28,3.175155979,3.175155979
1469,121.77558,37.886665,2.92,0.25,4.896009123,4.896009123
1470,121.95555,37.867508,1.45,0.23,9.017775984,9.017775984
1471,122.13532,37.848114,0.7,0.16,12.88153195,12.88153195
1472,122.31502,37.82845,0.77,0.07,5.197063597,5.197063597
1473,122.49454,37.808533,0.5,0.04,4.576241219,4.576241219
1474,109.90109,38.70338,2.14,0.01,0.267871138,0.267871138
1475,110.09065,38.701447,2.19,0.01,0.261755445,0.261755445
1476,110.271965,38.69923,2.77,0.02,0.413890575,0.413890575
1477,110.45714,38.69673,3.51,0.01,0.163318193,0.163318193
1478,110.64133,38.693966,3.66,0.02,0.313247378,0.313247378
1479,110.82614,38.690918,3.83,0.03,0.449010458,0.449010458
1480,111.01027,38.687595,3.84,0.06,0.895627755,0.895627755
1481,111.19436,38.683987,4.42,0.1,1.29672088,1.29672088
1482,111.37871,38.680115,4.69,0.18,2.199021211,2.199021211
1483,111.56298,38.675953,4.69,0.26,3.174673391,3.174673391
1484,111.7472,38.671528,4.2,0.34,4.630484996,4.630484996
1485,111.93158,38.66682,3.02,0.4,7.548755936,7.548755936
1486,112.11572,38.66183,2.51,0.5,11.27174196,11.27174196
1487,112.29959,38.65657,1.81,0.61,18.63411596,18.63411596
1488,112.48389,38.65103,1.01,0.77,37.33996596,37.33996596
1489,112.668,38.645218,0.58,0.72,51.17256797,51.17256797
1490,112.85218,38.63913,0.27,0.63,66.83529213,66.83529213
1491,113.036285,38.632767,0.24,0.4,59.06618751,59.06618751
1492,113.22033,38.626118,0.27,0.34,51.57243581,51.57243581
1493,113.40439,38.61921,0.44,0.26,30.5947371,30.5947371
1494,113.58807,38.61202,1.2,0.2,9.467121635,9.467121635
1495,113.77222,38.604553,1.76,0.15,4.873861872,4.873861872
1496,113.955925,38.596813,1.32,0.09,3.902472129,3.902472129
1497,114.13991,38.588802,0.47,0.08,9.664792716,9.664792716
1498,114.32359,38.58051,0.14,0.05,19.66379276,19.66379276
1499,114.50737,38.571953,0.07,0.02,15.95348364,15.95348364
1500,114.69115,38.56312,0.03,0.01,18.4442993,18.4442993
1501,114.87476,38.55401,0.03,0,0,0
1502,115.058426,38.544624,0.02,0,0,0
1503,115.24191,38.534977,0.01,0,0,0
1504,115.42542,38.525047,0.01,0,0,0
1505,115.60889,38.51485,0.01,0,0,0
1506,116.158745,38.482628,0.01,0,0,0
1507,116.341934,38.471348,0.01,0,0,0
1508,116.52511,38.459793,0.01,0,0,0
1509,116.70818,38.44797,0.01,0,0,0
1510,116.89117,38.435875,0.02,0,0,0
1511,117.07399,38.423515,0.02,0,0,0
1512,117.256775,38.41088,0.02,0,0,0
1513,117.43955,38.39798,0.01,0,0,0
1514,117.62224,38.38481,0.01,0,0,0
1515,117.80485,38.371376,0.01,0,0,0
1516,117.98734,38.357674,0.01,0,0,0
1517,119.62597,38.222366,0.25,0.84,73.46323497,73.46323497
1518,119.80753,38.206013,0.26,0.77,71.37829728,71.37829728
1519,119.98904,38.189396,0.19,0.67,74.20523227,74.20523227
1520,120.17041,38.172516,0.18,0.59,73.07089572,73.07089572
1521,120.35164,38.155376,0.46,0.49,46.83248139,46.83248139
1522,120.53283,38.13797,1.07,0.42,21.44203748,21.44203748
1523,120.713905,38.120316,1.4,0.35,14.04336285,14.04336285
1524,120.894905,38.102386,2.17,0.32,8.392943765,8.392943765
1525,121.0757,38.084206,3.64,0.24,3.774196966,3.774196966
1526,121.25641,38.06576,4.73,0.27,3.26869533,3.26869533
1527,121.436966,38.047066,4.86,0.24,2.828558537,2.828558537
1528,121.61746,38.028107,3.23,0.2,3.544999827,3.544999827
1529,121.79783,38.008892,1.68,0.09,3.068040867,3.068040867
1530,121.978035,37.989418,0.71,0.05,4.03030686,4.03030686
1531,122.15824,37.969685,0.66,0.04,3.469988395,3.469988395
1532,122.33823,37.949707,0.62,0.04,3.693258311,3.693258311
1533,122.51807,37.929462,0.44,0.02,2.60388226,2.60388226
1534,109.90512,38.84524,3.19,0.02,0.359398681,0.359398681
1535,110.09065,38.84302,3.15,0.02,0.363962352,0.363962352
1536,110.274826,38.840523,3.57,0.02,0.321144208,0.321144208
1537,110.45799,38.83774,3.71,0.02,0.309025798,0.309025798
1538,110.64255,38.83467,3.88,0.03,0.443224473,0.443224473
1539,110.8278,38.831345,3.85,0.05,0.744436601,0.744436601
1540,111.01201,38.82772,4.23,0.08,1.084028511,1.084028511
1541,111.196815,38.823837,4.78,0.15,1.798306537,1.798306537
1542,111.38126,38.819664,4.79,0.21,2.511589292,2.511589292
1543,111.565735,38.815212,4.68,0.27,3.303540429,3.303540429
1544,111.75056,38.81049,3.8,0.39,5.862811621,5.862811621
1545,111.93513,38.80548,3.2,0.5,8.88516355,8.88516355
1546,112.119606,38.800205,2.37,0.66,15.56940335,15.56940335
1547,112.3041,38.794647,1.4,0.97,34.73403803,34.73403803
1548,112.48877,38.788815,0.85,0.95,48.20426763,48.20426763
1549,112.67328,38.782703,0.55,0.89,58.31442942,58.31442942
1550,112.857735,38.77632,0.41,0.67,58.56554661,58.56554661
1551,113.04208,38.76965,0.26,0.53,63.90139474,63.90139474
1552,113.226585,38.762714,0.23,0.35,56.71812285,56.71812285
1553,113.41088,38.755493,0.39,0.24,31.62353403,31.62353403
1554,113.59511,38.748005,1.06,0.17,9.115978457,9.115978457
1555,113.77948,38.74024,1.16,0.12,5.909136794,5.909136794
1556,113.96374,38.732197,0.72,0.08,6.343407583,6.343407583
1557,114.147896,38.72388,0.17,0.06,19.4498951,19.4498951
1558,114.332016,38.71529,0.08,0.04,26.57852536,26.57852536
1559,114.5161,38.70643,0.04,0.02,26.57852536,26.57852536
1560,114.70016,38.69728,0.03,0.01,18.4442993,18.4442993
1561,114.88423,38.68787,0.02,0,0,0
1562,115.06818,38.678177,0.01,0,0,0
1563,115.252,38.66822,0.01,0,0,0
1564,115.43589,38.657986,0.01,0,0,0
1565,115.987045,38.62565,0.01,0,0,0
1566,116.1707,38.614326,0.01,0,0,0
1567,116.354164,38.602734,0.01,0,0,0
1568,116.53766,38.590866,0.01,0,0,0
1569,116.72109,38.57873,0.01,0,0,0
1570,116.904335,38.56632,0.02,0,0,0
1571,117.087654,38.55365,0.02,0,0,0
1572,117.27082,38.5407,0.02,0,0,0
1573,117.453835,38.527485,0.02,0,0,0
1574,117.63687,38.514,0.01,0,0,0
1575,117.819824,38.500248,0.01,0,0,0
1576,118.002686,38.48623,0.01,0,0,0
1577,118.185425,38.471943,0.01,0,0,0
1578,119.462265,38.364468,0.3,0.88,71.21139112,71.21139112
1579,119.64427,38.348064,0.26,0.82,72.44430161,72.44430161
1580,119.82626,38.331387,0.23,0.68,71.34881931,71.34881931
1581,120.00806,38.314445,0.18,0.62,73.84823165,73.84823165
1582,120.18975,38.29724,0.28,0.52,61.73053899,61.73053899
1583,120.37137,38.27978,0.84,0.43,27.1218725,27.1218725
1584,120.55287,38.262054,1.23,0.37,16.75046216,16.75046216
1585,120.73421,38.24407,1.58,0.3,10.75642004,10.75642004
1586,120.915535,38.225826,2.69,0.23,4.889488597,4.889488597
1587,121.09674,38.20731,3.86,0.25,3.707570438,3.707570438
1588,121.27776,38.188553,4.35,0.24,3.159546552,3.159546552
1589,121.45871,38.169525,3.93,0.21,3.06024899,3.06024899
1590,121.63949,38.150238,1.87,0.14,4.283707892,4.283707892
1591,121.820206,38.1307,1.18,0.04,1.942471141,1.942471141
1592,122.00079,38.110905,0.63,0.03,2.727693818,2.727693818
1593,122.18123,38.09085,0.76,0.03,2.261648471,2.261648471
1594,122.36149,38.070538,0.72,0.04,3.181442976,3.181442976
1595,122.541756,38.049976,0.26,0.02,4.400936442,4.400936442
1596,109.90512,38.989033,3.87,0.02,0.29624977,0.29624977
1597,110.08847,38.986794,3.78,0.03,0.454949502,0.454949502
1598,110.27411,38.98429,3.76,0.03,0.457369343,0.457369343
1599,110.4597,38.981495,3.81,0.03,0.451367371,0.451367371
1600,110.64407,38.97842,3.92,0.04,0.584927054,0.584927054
1601,110.82898,38.975075,4,0.06,0.85980813,0.85980813
1602,111.01395,38.971455,4.36,0.1,1.31455945,1.31455945
1603,111.19894,38.967545,4.81,0.18,2.144211785,2.144211785
1604,111.38353,38.963364,4.78,0.24,2.875819692,2.875819692
1605,111.568855,38.958897,4.2,0.34,4.630484996,4.630484996
1606,111.75391,38.954147,3.78,0.48,7.240592698,7.240592698
1607,111.939064,38.949135,3,0.68,12.77772032,12.77772032
1608,112.12385,38.943836,1.73,0.87,26.71091505,26.71091505
1609,112.30851,38.93826,1.16,0.94,39.03919168,39.03919168
1610,112.49356,38.9324,0.82,0.92,48.31373568,48.31373568
1611,112.67825,38.92627,0.67,0.86,52.10533679,52.10533679
1612,112.863075,38.919857,0.4,0.7,60.28568097,60.28568097
1613,113.04813,38.91317,0.21,0.52,68.04336517,68.04336517
1614,113.23271,38.906204,0.21,0.32,56.75388382,56.75388382
1615,113.41736,38.898964,0.48,0.21,23.64136289,23.64136289
1616,113.60213,38.89145,0.93,0.14,8.565231779,8.565231779
1617,113.78662,38.883656,0.76,0.09,6.756999546,6.756999546
1618,113.97134,38.875587,0.3,0.07,13.14068407,13.14068407
1619,114.155914,38.86723,0.12,0.05,22.63133807,22.63133807
1620,114.340324,38.858616,0.05,0.03,30.9794618,30.9794618
1621,114.52485,38.84972,0.03,0.01,18.4442993,18.4442993
1622,114.70932,38.84054,0.02,0,0,0
1623,114.89369,38.831097,0.01,0,0,0
1624,115.07791,38.82137,0.01,0,0,0
1625,115.26217,38.81138,0.01,0,0,0
1626,115.99862,38.768654,0.01,0,0,0
1627,116.18248,38.757294,0.01,0,0,0
1628,116.36649,38.745655,0.01,0,0,0
1629,116.55024,38.73375,0.01,0,0,0
1630,116.73403,38.72157,0.01,0,0,0
1631,116.91762,38.709118,0.02,0,0,0
1632,117.10123,38.696396,0.02,0,0,0
1633,117.28481,38.683407,0.02,0,0,0
1634,117.468216,38.67014,0.01,0,0,0
1635,117.651535,38.65661,0.01,0,0,0
1636,117.83489,38.642807,0.01,0,0,0
1637,118.01805,38.628742,0.01,0,0,0
1638,118.20115,38.614407,0.01,0,0,0
1639,118.38418,38.5998,0.01,0,0,0
1640,119.29799,38.522762,0.35,0.98,70.38185654,70.38185654
1641,119.48042,38.506554,0.31,0.81,69.09237634,69.09237634
1642,119.66274,38.49008,0.24,0.75,72.29197733,72.29197733
1643,119.845055,38.47335,0.19,0.66,73.97751614,73.97751614
1644,120.02724,38.456352,0.2,0.57,70.70103387,70.70103387
1645,120.20927,38.439087,0.34,0.49,55.27210805,55.27210805
1646,120.39119,38.421566,0.72,0.35,25.93805099,25.93805099
1647,120.57301,38.403778,1.04,0.31,16.60652319,16.60652319
1648,120.75474,38.385727,1.87,0.24,7.317198136,7.317198136
1649,120.9364,38.367416,2.94,0.23,4.475481057,4.475481057
1650,121.11786,38.348846,3.55,0.23,3.708820208,3.708820208
1651,121.29921,38.330017,3.84,0.21,3.131832568,3.131832568
1652,121.48047,38.31093,2.48,0.2,4.612987907,4.612987907
1653,121.66168,38.291576,1.31,0.15,6.535449882,6.535449882
1654,121.84264,38.27197,0.76,0.05,3.765944038,3.765944038
1655,122.0236,38.2521,0.7,0.02,1.637407137,1.637407137
1656,122.20437,38.231976,0.84,0.02,1.364619335,1.364619335
1657,122.38499,38.2116,0.48,0.03,3.578148344,3.578148344
1658,122.56553,38.19096,0.15,0.02,7.598495482,7.598495482
1659,109.90512,39.1328,4.09,0.04,0.560616266,0.560616266
