FID,lon,lat,uu01,vv01,speed,speed_1
87,114.28971,34.74117,5.14,0.1,1.115128595,1.115128595
88,114.46463,34.73464,4.54,0.05,0.631305322,0.631305322
89,114.63942,34.727848,3.87,0,0,0
90,114.81426,34.72082,3.29,0,0,0
91,114.98893,34.71354,1.47,0,0,0
92,115.16369,34.70601,0.11,0,0,0
93,119.338844,34.451168,0.01,0,0,0
94,119.51193,34.437492,0.05,0,0,0
95,109.90933,34.96685,1.68,0.2,6.792418041,6.792418041
96,110.08393,34.966625,1.92,0.13,3.875454415,3.875454415
97,110.25869,34.96613,3.44,0.17,2.830610837,2.830610837
98,110.43566,34.965374,5.78,0.2,1.982767432,1.982767432
99,110.61166,34.96437,6.87,0.17,1.418229195,1.418229195
100,110.78709,34.963108,6.41,0.1,0.894230747,0.894230747
101,110.96287,34.961594,6.65,0.11,0.948143979,0.948143979
102,111.13884,34.959827,9.41,0.2,1.218197902,1.218197902
103,111.31433,34.957817,9.58,0.22,1.316205502,1.316205502
104,111.48991,34.955536,11.42,0.19,0.953652798,0.953652798
105,111.66566,34.95301,13.55,0.19,0.803764279,0.803764279
106,111.84122,34.950233,13.47,0.2,0.851085802,0.851085802
107,112.01684,34.9472,12.85,0.16,0.713735453,0.713735453
108,112.192406,34.943924,11.51,0.13,0.647429404,0.647429404
109,112.367775,34.940384,11.13,0.15,0.772525208,0.772525208
110,112.54337,34.936596,10.96,0.14,0.732211793,0.732211793
111,112.71902,34.932556,10.89,0.14,0.736917872,0.736917872
112,112.894485,34.92826,10.67,0.16,0.859539564,0.859539564
113,113.069824,34.923717,10.73,0.15,0.801320228,0.801320228
114,113.245285,34.918922,10.03,0.12,0.685807847,0.685807847
115,113.4208,34.91387,8.95,0.12,0.768555165,0.768555165
116,113.59619,34.908577,8.54,0.12,0.805448268,0.805448268
117,113.77133,34.903023,7.67,0.12,0.896795267,0.896795267
118,113.9467,34.897224,6.4,0.1,0.895627755,0.895627755
119,114.12194,34.891167,5.81,0.05,0.493316916,0.493316916
120,114.29729,34.88486,5.06,0.01,0.113290052,0.113290052
121,114.47243,34.878304,4.58,0,0,0
122,114.6476,34.871494,3.53,0,0,0
123,114.82268,34.86444,0.97,0,0,0
124,114.99768,34.85714,0.05,0,0,0
125,119.1816,34.60732,0.01,0,0,0
126,119.355034,34.593834,0.17,0,0,0
127,119.52839,34.58012,0.06,0,0,0
128,119.701546,34.566147,0.03,0.04,53.15705071,53.15705071
129,119.87481,34.55194,0.02,0.03,56.33849369,56.33849369
130,120.04787,34.537495,0.01,0.02,63.46712395,63.46712395
131,120.22082,34.522804,0,0.01,90.04564931,90.04564931
132,120.393745,34.507877,0,0.01,90.04564931,90.04564931
133,120.911896,34.461636,0.01,0,0,0
134,121.08444,34.445747,0.01,0,0,0
135,109.90723,35.110924,2.59,0.21,4.637814601,4.637814601
136,110.09065,35.110645,2.82,0.07,1.422664889,1.422664889
137,110.261696,35.110134,4.97,0.05,0.576689204,0.576689204
