FID,lon,lat,pm01
0,109.90933,34.53462,10.58
1,110.08393,34.534874,10.06
2,110.259445,34.534874,10.24
3,110.43431,34.534626,13.6
4,110.60813,34.53414,13.98
5,110.78335,34.53341,15.23
6,110.957565,34.532417,18.09
7,111.13264,34.53117,20.92
8,111.307465,34.529682,26.33
9,111.482,34.527935,31.58
10,111.65682,34.525944,38.55
11,111.83152,34.5237,33.88
12,112.006134,34.521194,28.92
13,112.180954,34.51845,27.63
14,112.355515,34.51545,29.57
15,112.530106,34.512207,40.19
16,112.704796,34.508713,41.48
17,112.879295,34.50496,38.94
18,113.05384,34.50097,34.29
19,113.22841,34.496716,35.48
20,113.40283,34.49222,34.58
21,113.57731,34.487476,32.39
22,113.751816,34.482483,27.82
23,113.926056,34.477238,24.29
24,114.10046,34.471752,20.48
25,114.27471,34.466007,17.81
26,114.449066,34.460014,17.09
27,114.62326,34.45378,16.43
28,114.79747,34.447296,15.49
29,114.97166,34.44056,14.85
30,109.90723,34.67885,15.75
31,110.08393,34.678852,18.96
32,110.26019,34.67862,23.89
33,110.43386,34.678135,15.38
34,110.60909,34.677387,14.97
35,110.78435,34.6764,17.76
36,110.959816,34.675148,28.63
37,111.134705,34.673653,39.01
38,111.310005,34.671894,48.67
39,111.4849,34.66989,75.22
40,111.65965,34.66764,58.74
41,111.83462,34.665134,45.73
42,112.00974,34.662384,46.48
43,112.184715,34.659367,41.24
44,112.359665,34.65611,42.1
45,112.53451,34.652603,46.34
46,112.70935,34.648838,47.86
47,112.88432,34.644825,42.06
48,113.05903,34.64057,38.31
49,113.233864,34.63605,35.88
50,113.40876,34.63129,34.05
51,113.583595,34.626278,29.6
52,113.75828,34.621017,25.86
53,113.93294,34.615505,21.87
54,114.10761,34.60974,19.1
55,114.28222,34.603733,18.44
56,114.456726,34.597477,18.54
57,114.631386,34.590965,16.2
58,114.80588,34.584206,15.07
59,114.98024,34.577198,14.64
60,115.15458,34.56995,12.38
61,115.328964,34.562443,9.38
62,115.50339,34.554688,10.37
63,115.67769,34.546684,12.62
