FID,lon,lat,pm02,pm02_1
2084,113.41088,38.755493,7.47,7.47
2085,113.59511,38.748005,5.3,5.3
2086,113.77948,38.74024,4.45,4.45
2087,113.96374,38.732197,3.72,3.72
2088,114.147896,38.72388,3.47,3.47
2089,114.332016,38.71529,3.13,3.13
2090,114.5161,38.70643,2.82,2.82
2091,114.70016,38.69728,2.66,2.66
2092,114.88423,38.68787,2.38,2.38
2093,115.06818,38.678177,2,2
2094,115.252,38.66822,1.61,1.61
2095,115.43589,38.657986,1.34,1.34
2096,115.61971,38.64748,1.2,1.2
2097,115.80337,38.6367,1.12,1.12
2098,115.987045,38.62565,1.01,1.01
2099,116.1707,38.614326,0.75,0.75
2100,116.354164,38.602734,0.7,0.7
2101,116.53766,38.590866,0.7,0.7
2102,116.72109,38.57873,0.66,0.66
2103,116.904335,38.56632,0.61,0.61
2104,117.087654,38.55365,0.51,0.51
2105,117.27082,38.5407,0.45,0.45
2106,117.453835,38.527485,0.52,0.52
2107,117.63687,38.514,0.59,0.59
2108,117.819824,38.500248,0.7,0.7
2109,118.002686,38.48623,0.85,0.85
2110,118.185425,38.471943,1.05,1.05
2111,118.36814,38.45739,1.3,1.3
2112,118.55068,38.442566,1.56,1.56
2113,118.73317,38.427475,1.82,1.82
2114,118.91563,38.412125,2.04,2.04
2115,119.09797,38.3965,2.09,2.09
2116,119.280174,38.38062,2.01,2.01
2117,119.462265,38.364468,8.52,8.52
2118,119.64427,38.348064,9.61,9.61
2119,119.82626,38.331387,11.87,11.87
2120,120.00806,38.314445,13.5,13.5
2121,120.18975,38.29724,15.4,15.4
2122,120.37137,38.27978,17.52,17.52
2123,120.55287,38.262054,19.89,19.89
2124,120.73421,38.24407,21.37,21.37
2125,120.915535,38.225826,21.6,21.6
2126,121.09674,38.20731,20.83,20.83
2127,121.27776,38.188553,19.49,19.49
2128,121.45871,38.169525,18.47,18.47
2129,121.63949,38.150238,17.49,17.49
2130,121.820206,38.1307,16.31,16.31
2131,122.00079,38.110905,15.4,15.4
2132,122.18123,38.09085,14.33,14.33
2133,122.36149,38.070538,13.82,13.82
2134,122.541756,38.049976,13.77,13.77
2135,109.90512,38.989033,38.6,38.6
2136,110.08847,38.986794,43.76,43.76
2137,110.27411,38.98429,36.93,36.93
2138,110.4597,38.981495,29.86,29.86
2139,110.64407,38.97842,31.84,31.84
2140,110.82898,38.975075,32.26,32.26
2141,111.01395,38.971455,33.04,33.04
2142,111.19894,38.967545,32.12,32.12
2143,111.38353,38.963364,32.25,32.25
2144,111.568855,38.958897,33.65,33.65
2145,111.75391,38.954147,30.9,30.9
2146,111.939064,38.949135,29.55,29.55
2147,112.12385,38.943836,24.83,24.83
2148,112.30851,38.93826,20.95,20.95
2149,112.49356,38.9324,19.01,19.01
2150,112.67825,38.92627,17.54,17.54
2151,112.863075,38.919857,14.99,14.99
2152,113.04813,38.91317,12.3,12.3
2153,113.23271,38.906204,8.95,8.95
2154,113.41736,38.898964,6.37,6.37
2155,113.60213,38.89145,5.49,5.49
2156,113.78662,38.883656,4.62,4.62
2157,113.97134,38.875587,3.99,3.99
2158,114.155914,38.86723,3.53,3.53
