FID,lon,lat,pm03
174,117.442924,34.728683,2
175,117.617165,34.717655,1.99
176,117.79123,34.706367,2.12
177,117.96536,34.694847,2.15
178,118.13927,34.68308,1.75
179,118.313194,34.67106,1.32
180,118.48705,34.6588,1.07
181,118.660805,34.646294,0.95
182,118.834496,34.633545,0.89
183,119.008095,34.620556,0.9
184,119.1816,34.60732,0.87
185,119.355034,34.593834,0.96
186,119.52839,34.58012,0.95
187,119.701546,34.566147,0.95
188,119.87481,34.55194,1.04
189,120.04787,34.537495,1.13
190,120.22082,34.522804,1.17
191,120.393745,34.507877,1.28
192,120.56655,34.492706,1.38
193,120.73928,34.477287,1.4
194,120.911896,34.461636,1.36
195,121.08444,34.445747,1.37
196,109.90723,35.110924,11.15
197,110.09065,35.110645,11.19
198,110.261696,35.110134,13.57
199,110.43656,35.10937,15.27
200,110.6123,35.108356,16.92
201,110.788826,35.10709,16.74
202,110.9649,35.105568,16.63
203,111.14038,35.103794,16.03
204,111.31671,35.10177,12.48
205,111.49253,35.099487,7.86
206,111.66824,35.096954,6.62
207,111.8443,35.094166,6.3
208,112.02023,35.09112,5.36
209,112.19598,35.08783,4.96
210,112.371994,35.08428,4.99
211,112.54776,35.080475,4.97
212,112.72362,35.07642,3.88
213,112.89935,35.072113,3.48
214,113.07511,35.067554,3.25
215,113.250885,35.062737,3.21
216,113.42669,35.057674,3.06
217,113.60245,35.052353,2.92
218,113.77798,35.04678,2.84
219,113.95359,35.040955,2.8
220,114.12925,35.034885,2.93
221,114.30471,35.028553,2.94
222,114.48026,35.021976,3.03
223,114.655685,35.01514,3.23
224,114.83112,35.00806,3.87
225,115.006454,35.00073,4.11
226,115.18176,34.99315,4.17
227,115.357086,34.985313,3.56
228,115.532265,34.977226,3.49
229,115.707466,34.968887,2.62
230,115.88261,34.960304,2.22
231,116.05765,34.95147,2.07
232,116.2326,34.94238,1.84
233,116.40751,34.93305,1.91
234,116.582466,34.923466,2.06
235,116.75726,34.91363,2.48
236,116.93204,34.903553,2.61
237,117.10675,34.893223,2.53
238,117.28134,34.88265,2.06
239,117.45591,34.871822,1.98
240,117.63042,34.86075,1.99
241,117.8049,34.849426,2.08
242,117.979225,34.837864,2.01
243,118.153465,34.826057,1.51
244,118.32766,34.814,0.97
245,118.50185,34.801693,0.72
246,118.67592,34.78914,0.67
247,118.84987,34.776352,0.58
248,119.02374,34.76331,0.53
249,119.19758,34.750027,0.5
250,119.37124,34.736504,0.51
251,119.54492,34.722725,0.5
252,119.71851,34.708714,0.49
253,119.89196,34.694466,0.57
254,120.06528,34.67996,0.73
255,120.23865,34.66522,0.85
256,120.411766,34.65023,0.91
257,120.5849,34.635006,0.96
258,120.75787,34.619545,1.08
259,120.930786,34.603836,1.21
260,121.10359,34.58789,1.43
261,121.276276,34.571712,1.54
262,121.448875,34.55528,1.62
263,121.62138,34.538616,1.76
264,121.79381,34.521717,2.11
265,121.966064,34.504578,3.6
266,122.13826,34.4872,4.67
267,122.31034,34.469593,4.3
268,122.48229,34.45174,2.87
269,122.654144,34.43366,8.76
270,109.91376,35.25491,10.31
271,110.07913,35.254917,10.28
272,110.261696,35.254646,10.55
273,110.437454,35.25413,10.16
274,110.61389,35.253365,11.97
275,110.79031,35.252346,12.66
276,110.966515,35.251072,10.84
277,111.14295,35.24954,7.26
278,111.31864,35.247765,5.94
279,111.49541,35.245724,5.04
280,111.6714,35.243435,4.67
281,111.847694,35.240894,4.71
282,112.02391,35.23809,4.88
283,112.20016,35.23504,4.83
284,112.3762,35.23173,5.18
285,112.55237,35.22817,5.55
286,112.728645,35.224358,4.5
287,112.90455,35.220287,4.2
288,113.0807,35.215958,4.11
289,113.25672,35.211388,3.97
290,113.43279,35.20655,3.78
291,113.60864,35.201466,3.65
292,113.78465,35.19613,3.51
293,113.96057,35.190536,3.24
294,114.13654,35.184692,3.33
295,114.3123,35.178596,3.37
296,114.48817,35.172245,3.47
297,114.66389,35.165646,3.85
298,114.83959,35.158787,4.15
299,115.01529,35.15168,4.23
300,115.1909,35.14432,4.21
301,115.36641,35.13671,3.36
302,115.542,35.12885,3.2
303,115.71752,35.120735,2.43
304,115.89289,35.112366,2.03
305,116.06825,35.103752,1.71
306,116.2436,35.094883,1.59
307,116.41885,35.085766,1.65
308,116.59399,35.0764,1.76
309,116.76916,35.06678,2.08
310,116.94422,35.056915,2.37
311,117.11925,35.046795,2.41
312,117.29418,35.036434,1.9
313,117.46903,35.02582,1.84
314,117.64378,35.014957,1.91
315,117.81852,35.003845,1.95
316,117.99324,34.992485,1.84
317,118.167755,34.98088,1.3
318,118.34227,34.96903,0.68
319,118.516716,34.95693,0.43
320,118.69112,34.944584,0.37
321,118.86531,34.931988,0.31
322,119.03951,34.919147,0.29
323,119.21359,34.906063,0.32
324,119.38765,34.89273,0.36
325,119.56155,34.879154,0.37
326,119.73541,34.865334,0.33
327,119.90916,34.851273,0.3
328,120.08285,34.836967,0.35
329,120.256424,34.82242,0.53
330,120.42992,34.80762,0.71
331,120.60329,34.792587,0.83
332,120.77657,34.77731,0.9
333,120.94978,34.761787,1.07
334,121.12289,34.746025,1.31
335,121.29586,34.73003,1.56
336,121.46871,34.713783,1.73
337,121.64154,34.697308,1.8
338,121.81421,34.68058,1.82
339,121.98677,34.663624,2.21
340,122.159256,34.64642,3.37
341,122.33161,34.62899,4.13
342,122.50383,34.611317,3.31
343,109.90512,35.398888,9.79
344,110.08393,35.398895,8.96
345,110.26244,35.398636,8.85
346,110.43835,35.398125,7.89
347,110.61453,35.397354,6.98
348,110.792046,35.396328,6.61
349,110.96793,35.395042,5.71
350,111.14449,35.393513,4.78
351,111.321014,35.391724,4.25
352,111.497894,35.389683,3.67
353,111.67433,35.38738,3.76
354,111.85076,35.384834,4.46
355,112.02739,35.382015,4.34
356,112.20407,35.378956,5
357,112.380554,35.375633,5.46
358,112.55704,35.37206,5.41
359,112.73331,35.368233,4.63
360,112.9098,35.364143,4.54
361,113.08617,35.359806,4.84
362,113.26249,35.355213,4.84
363,113.43889,35.350365,4.56
364,113.6152,35.345257,4.46
365,113.791275,35.339905,4.46
366,113.96768,35.334293,4.23
367,114.14369,35.32843,4.06
368,114.320015,35.322308,4.03
369,114.49615,35.315937,4.03
370,114.67215,35.309307,3.89
371,114.84812,35.302433,4.01
372,115.024185,35.295296,4.23
373,115.2001,35.28791,4.6
374,115.37593,35.280273,4.59
375,115.55175,35.272385,3.74
376,115.727554,35.26424,2.23
377,115.90326,35.255844,1.74
378,116.078995,35.247196,1.57
379,116.25458,35.238297,1.49
380,116.430176,35.229145,1.51
381,116.60566,35.219753,1.55
382,116.78111,35.210094,1.71
383,116.95647,35.200195,1.99
384,117.131744,35.190044,2.14
385,117.306946,35.17964,1.75
386,117.482185,35.16899,1.68
387,117.65727,35.15809,1.76
388,117.83231,35.14694,1.81
389,118.007324,35.135532,1.77
390,118.18219,35.12389,1.28
391,118.35692,35.111996,0.62
392,118.53165,35.099854,0.34
393,118.70634,35.08746,0.27
394,118.88089,35.074825,0.22
395,119.05537,35.061935,0.2
396,119.22983,35.048805,0.2
397,119.40407,35.03543,0.21
398,119.57831,35.02181,0.21
399,119.75249,35.007942,0.21
400,119.92649,34.993828,0.22
401,120.1005,34.979465,0.26
402,120.27432,34.964867,0.32
403,120.44814,34.950024,0.44
404,120.62181,34.934933,0.6
405,120.79539,34.919605,0.8
406,120.96888,34.904026,0.9
407,121.142235,34.888214,1
408,121.315544,34.872154,1.2
409,121.488655,34.85586,1.62
410,121.66174,34.839317,1.71
411,121.834755,34.822536,1.85
412,122.00761,34.805523,1.94
413,122.180405,34.788258,2.67
414,122.35299,34.77076,3.78
415,122.52554,34.75303,3.18
416,109.91153,35.542862,10.4
417,110.08393,35.542873,9.32
418,110.26318,35.542618,9.15
