FID,lon,lat,speed2
0,109.90933,34.53462,41.25701241
1,110.08393,34.534874,42.22083386
2,110.259445,34.534874,43.228531
3,110.43431,34.534626,43.80651132
4,110.60813,34.53414,43.80651132
5,110.78335,34.53341,43.228531
6,110.957565,34.532417,40.87240899
7,111.13264,34.53117,39.05313761
8,111.307465,34.529682,36.86989827
9,111.482,34.527935,34.79602687
10,111.65682,34.525944,32.82854235
11,111.83152,34.5237,30.14138607
12,112.006134,34.521194,28.88658226
13,112.180954,34.51845,29.05460459
14,112.355515,34.51545,26.56505163
15,112.530106,34.512207,24.59011759
16,112.704796,34.508713,23.19859091
17,112.879295,34.50496,21.37062263
18,113.05384,34.50097,20.72555922
19,113.22841,34.496716,19.925581
20,113.40283,34.49222,17.84020461
21,113.57731,34.487476,16.02586772
22,113.751816,34.482483,14.7150719
23,113.926056,34.477238,14.03624371
24,114.10046,34.471752,13.89717655
25,114.27471,34.466007,13.74904922
26,114.449066,34.460014,14.51105975
27,114.62326,34.45378,16.34817183
28,114.79747,34.447296,16.55707166
29,114.97166,34.44056,15.06848842
30,109.90723,34.67885,45.00000077
31,110.08393,34.678852,46.73570539
32,110.26019,34.67862,46.14576363
33,110.43386,34.678135,43.87669803
34,110.60909,34.677387,42.10873112
35,110.78435,34.6764,39.58813152
36,110.959816,34.675148,38.25442101
37,111.134705,34.673653,36.34745883
38,111.310005,34.671894,33.45331002
39,111.4849,34.66989,30.81570628
40,111.65965,34.66764,28.12373586
41,111.83462,34.665134,28.17859059
42,112.00974,34.662384,27.37770324
43,112.184715,34.659367,26.16156689
44,112.359665,34.65611,24.65589916
45,112.53451,34.652603,24.04422368
46,112.70935,34.648838,23.88650033
47,112.88432,34.644825,24.32557565
48,113.05903,34.64057,25.6651919
49,113.233864,34.63605,22.24902404
50,113.40876,34.63129,19.84069842
51,113.583595,34.626278,16.69924452
52,113.75828,34.621017,14.68878702
53,113.93294,34.615505,13.90268735
54,114.10761,34.60974,13.76078535
55,114.28222,34.603733,14.80837729
56,114.456726,34.597477,16.34817183
57,114.631386,34.590965,16.55707166
58,114.80588,34.584206,15.44631663
59,114.98024,34.577198,14.53445533
60,115.15458,34.56995,12.66506398
61,115.328964,34.562443,10.86406011
62,115.50339,34.554688,9.211026698
63,115.67769,34.546684,8.601385005
64,115.85184,34.53844,8.325650472
65,116.02604,34.52995,8.325650472
66,116.20005,34.521206,8.601385005
67,116.37413,34.512222,8.972626768
68,116.54817,34.50298,10.10503654
69,116.72202,34.493496,12.18365679
70,116.89587,34.483772,13.54793922
71,117.069695,34.473793,14.36458269
72,117.24344,34.463573,15.56151059
73,117.4171,34.453106,17.04903126
74,117.59068,34.442394,20.3532295
75,109.90933,34.822838,44.44374853
76,110.08393,34.822613,43.91907656
77,110.259445,34.82212,42.27368973
78,110.43566,34.82138,41.49646906
79,110.610054,34.820377,40.13548625
80,110.78609,34.819134,37.40535727
81,110.961235,34.817627,34.69515412
82,111.136604,34.815865,31.79891337
83,111.311646,34.81385,31.13897297
84,111.48754,34.81159,32.55000405
85,111.6626,34.809074,32.31961706
86,111.837814,34.80631,28.96766114
87,112.013145,34.803288,28.4742041
88,112.18857,34.80002,26.22196722
89,112.363556,34.796494,26.89623742
90,112.53891,34.792717,27.82409686
91,112.71419,34.788692,27.79044295
92,112.889206,34.784416,28.86715996
93,113.06446,34.77989,26.56505163
94,113.23961,34.77511,23.26770521
95,113.41473,34.770073,20.11963348
96,113.58976,34.764793,15.87117888
97,113.76473,34.759262,15.10957538
98,113.93985,34.75348,15.00492064
99,114.11481,34.747448,15.6899932
100,114.28971,34.74117,17.15242203
101,114.46463,34.73464,17.10272926
102,114.63942,34.727848,16.42930173
103,114.81426,34.72082,16.03994358
104,114.98893,34.71354,13.72229737
105,115.16369,34.70601,10.97224042
106,115.33836,34.69823,9.628156293
107,115.51296,34.690205,8.461288287
108,115.687515,34.681923,8.259438121
109,115.86201,34.673405,8.259438121
110,116.036446,34.66463,8.746162412
111,116.21092,34.655605,10.40771149
112,116.385284,34.646336,12.31944547
113,116.559456,34.636826,12.89374426
114,116.73374,34.62706,14.70830415
115,116.90788,34.61705,14.8862671
116,117.08198,34.6068,15.06848842
117,117.25597,34.596287,15.44631663
118,117.42999,34.585545,18.16595684
119,117.60391,34.574554,25.0168939
120,117.77774,34.56331,33.6900681
121,117.951454,34.551826,38.99099471
122,118.12512,34.540096,50.90614198
123,118.2988,34.528122,60.64224749
124,118.4723,34.515907,64.98310763
125,118.6458,34.503445,63.43494991
126,118.81914,34.490738,59.74356386
127,118.99246,34.477795,55.00798074
128,119.16571,34.4646,48.81407567
129,119.338844,34.451168,45.00000077
130,119.51193,34.437492,45.00000077
131,109.90933,34.96685,41.76030042
132,110.08393,34.966625,41.63354005
133,110.25869,34.96613,40.13548625
134,110.43566,34.965374,36.86989827
135,110.61166,34.96437,34.69515412
136,110.78709,34.963108,32.85572251
137,110.96287,34.961594,31.89079235
138,111.13884,34.959827,33.38851415
139,111.31433,34.957817,36.86989827
140,111.48991,34.955536,37.45057887
141,111.66566,34.95301,35.13419366
142,111.84122,34.950233,34.13594066
143,112.01684,34.9472,28.72032729
144,112.192406,34.943924,30.84658794
145,112.367775,34.940384,31.30412403
146,112.54337,34.936596,30.39872823
147,112.71902,34.932556,29.35775404
148,112.894485,34.92826,28.33913252
149,113.069824,34.923717,24.70243065
150,113.245285,34.918922,21.30578398
151,113.4208,34.91387,17.72323692
152,113.59619,34.908577,16.58733884
153,113.77133,34.903023,16.35581738
154,113.9467,34.897224,17.24145969
155,114.12194,34.891167,17.81888922
156,114.29729,34.88486,18.43494914
157,114.47243,34.878304,17.35402493
158,114.6476,34.871494,17.15242203
159,114.82268,34.86444,15.14098409
160,114.99768,34.85714,11.76828913
161,115.17275,34.84958,9.713251191
162,115.34768,34.84177,8.923988596
163,115.52258,34.83371,8.711437701
164,115.697395,34.825405,8.711437701
165,115.87227,34.816853,9.130176638
166,116.04705,34.80805,11.43368146
167,116.22174,34.798996,13.52316088
168,116.39633,34.789696,13.8610278
169,116.57089,34.780144,14.03624371
170,116.745445,34.770348,13.85141925
171,116.91988,34.7603,15.03781616
172,117.094376,34.750008,16.9661484
173,117.268715,34.73947,23.96248938
174,117.442924,34.728683,33.6900681
175,117.617165,34.717655,46.63657784
176,117.79123,34.706367,60.64224749
177,117.96536,34.694847,74.05460536
178,118.13927,34.68308,77.90524425
179,118.313194,34.67106,77.90524425
180,118.48705,34.6588,77.00538452
181,118.660805,34.646294,75.96375783
182,118.834496,34.633545,68.19859168
183,119.008095,34.620556,60.94539694
184,119.1816,34.60732,53.13010326
185,119.355034,34.593834,57.99461778
186,119.52839,34.58012,54.46232314
187,119.701546,34.566147,66.80141063
188,119.87481,34.55194,71.5650524
189,120.04787,34.537495,78.69006887
190,120.22082,34.522804,71.5650524
191,120.393745,34.507877,71.5650524
192,120.56655,34.492706,45.00000077
193,120.73928,34.477287,39.80557177
194,120.911896,34.461636,39.80557177
195,121.08444,34.445747,53.13010326
196,109.90723,35.110924,41.69813504
197,110.09065,35.110645,38.39516516
198,110.261696,35.110134,35.21759357
199,110.43656,35.10937,32.39984073
200,110.6123,35.108356,31.79891337
201,110.788826,35.10709,31.3286934
202,110.9649,35.105568,30.41108179
203,111.14038,35.103794,34.56252524
204,111.31671,35.10177,38.21102608
205,111.49253,35.099487,39.22567477
206,111.66824,35.096954,39.47246052
207,111.8443,35.094166,38.53018067
208,112.02023,35.09112,37.4761802
209,112.19598,35.08783,40.44623271
210,112.371994,35.08428,39.62900598
211,112.54776,35.080475,35.92850304
212,112.72362,35.07642,31.4874699
213,112.89935,35.072113,29.88652745
214,113.07511,35.067554,25.37156219
215,113.250885,35.062737,21.19405684
216,113.42669,35.057674,18.43494914
217,113.60245,35.052353,17.28149867
218,113.77798,35.04678,17.05696587
219,113.95359,35.040955,17.24145969
220,114.12925,35.034885,18.03428587
221,114.30471,35.028553,19.04662462
222,114.48026,35.021976,18.85315909
223,114.655685,35.01514,17.39332244
224,114.83112,35.00806,15.31281862
225,115.006454,35.00073,13.13402253
226,115.18176,34.99315,12.47046193
227,115.357086,34.985313,11.40249443
228,115.532265,34.977226,10.59152793
229,115.707466,34.968887,9.766679562
230,115.88261,34.960304,10.06906287
231,116.05765,34.95147,12.05078509
232,116.2326,34.94238,14.03624371
233,116.40751,34.93305,15.52411126
234,116.582466,34.923466,16.53483814
235,116.75726,34.91363,18.75865067
236,116.93204,34.903553,25.34617637
237,117.10675,34.893223,36.46923501
238,117.28134,34.88265,46.84761107
239,117.45591,34.871822,58.39249875
240,117.63042,34.86075,73.30075702
241,117.8049,34.849426,74.05460536
242,117.979225,34.837864,78.69006887
243,118.153465,34.826057,78.69006887
244,118.32766,34.814,75.96375783
245,118.50185,34.801693,75.96375783
246,118.67592,34.78914,75.96375783
247,118.84987,34.776352,78.69006887
248,119.02374,34.76331,71.5650524
249,119.19758,34.750027,71.5650524
250,119.37124,34.736504,60.25511973
251,119.54492,34.722725,60.25511973
